Simulation,Probability Player 1 Wins
1,0.41
2,0.452
3,0.452
4,0.444
5,0.439
6,0.435
7,0.444
8,0.428
9,0.446
10,0.459
11,0.42
12,0.448
13,0.443
14,0.458
15,0.434
16,0.439
17,0.453
18,0.449
19,0.44
20,0.427
21,0.447
22,0.439
23,0.429
24,0.452
25,0.465
26,0.461
27,0.412
28,0.451
29,0.447
30,0.416
31,0.432
32,0.444
33,0.429
34,0.443
35,0.467
36,0.458
37,0.474
38,0.431
39,0.442
40,0.426
41,0.463
42,0.423
43,0.452
44,0.433
45,0.444
46,0.431
47,0.449
48,0.441
49,0.42
50,0.435
51,0.432
52,0.407
53,0.443
54,0.459
55,0.425
56,0.446
57,0.47
58,0.423
59,0.444
60,0.442
61,0.449
62,0.449
63,0.462
64,0.467
65,0.431
66,0.451
67,0.421
68,0.416
69,0.453
70,0.456
71,0.45
72,0.442
73,0.448
74,0.443
75,0.446
76,0.449
77,0.46
78,0.435
79,0.449
80,0.422
81,0.444
82,0.437
83,0.45
84,0.439
85,0.429
86,0.457
87,0.412
88,0.458
89,0.438
90,0.445
91,0.469
92,0.456
93,0.42
94,0.452
95,0.433
96,0.44
97,0.465
98,0.446
99,0.46
100,0.465
101,0.452
102,0.422
103,0.461
104,0.433
105,0.46
106,0.483
107,0.449
108,0.442
109,0.422
110,0.448
111,0.441
112,0.435
113,0.443
114,0.468
115,0.433
116,0.441
117,0.43
118,0.46
119,0.437
120,0.445
121,0.451
122,0.434
123,0.408
124,0.433
125,0.433
126,0.434
127,0.453
128,0.467
129,0.433
130,0.437
131,0.444
132,0.454
133,0.451
134,0.451
135,0.444
136,0.439
137,0.433
138,0.429
139,0.464
140,0.457
141,0.465
142,0.443
143,0.446
144,0.471
145,0.426
146,0.449
147,0.428
148,0.447
149,0.445
150,0.462
151,0.409
152,0.442
153,0.436
154,0.45
155,0.431
156,0.451
157,0.441
158,0.446
159,0.447
160,0.46
161,0.461
162,0.446
163,0.437
164,0.439
165,0.469
166,0.475
167,0.454
168,0.432
169,0.455
170,0.463
171,0.468
172,0.46
173,0.457
174,0.455
175,0.454
176,0.448
177,0.463
178,0.451
179,0.445
180,0.467
181,0.431
182,0.445
183,0.446
184,0.429
185,0.453
186,0.426
187,0.46
188,0.441
189,0.449
190,0.463
191,0.44
192,0.433
193,0.433
194,0.473
195,0.44
196,0.448
197,0.441
198,0.433
199,0.442
200,0.439
201,0.446
202,0.435
203,0.453
204,0.445
205,0.443
206,0.466
207,0.438
208,0.445
209,0.439
210,0.421
211,0.473
212,0.448
213,0.457
214,0.416
215,0.429
216,0.437
217,0.444
218,0.442
219,0.462
220,0.43
221,0.436
222,0.415
223,0.47
224,0.475
225,0.471
226,0.441
227,0.43
228,0.438
229,0.445
230,0.45
231,0.429
232,0.475
233,0.444
234,0.456
235,0.436
236,0.467
237,0.424
238,0.423
239,0.426
240,0.436
241,0.459
242,0.425
243,0.459
244,0.453
245,0.436
246,0.449
247,0.416
248,0.441
249,0.46
250,0.416
251,0.458
252,0.461
253,0.448
254,0.447
255,0.434
256,0.449
257,0.453
258,0.434
259,0.478
260,0.443
261,0.46
262,0.482
263,0.446
264,0.433
265,0.448
266,0.432
267,0.46
268,0.445
269,0.434
270,0.425
271,0.436
272,0.421
273,0.443
274,0.434
275,0.433
276,0.465
277,0.425
278,0.455
279,0.443
280,0.448
281,0.425
282,0.441
283,0.472
284,0.446
285,0.435
286,0.446
287,0.457
288,0.426
289,0.443
290,0.477
291,0.453
292,0.427
293,0.454
294,0.454
295,0.447
296,0.46
297,0.414
298,0.444
299,0.45
300,0.449
301,0.447
302,0.441
303,0.47
304,0.471
305,0.471
306,0.432
307,0.448
308,0.432
309,0.45
310,0.442
311,0.457
312,0.424
313,0.438
314,0.454
315,0.45
316,0.448
317,0.478
318,0.442
319,0.436
320,0.432
321,0.455
322,0.45
323,0.416
324,0.457
325,0.469
326,0.447
327,0.416
328,0.432
329,0.46
330,0.445
331,0.474
332,0.416
333,0.434
334,0.474
335,0.443
336,0.443
337,0.421
338,0.405
339,0.427
340,0.441
341,0.432
342,0.453
343,0.438
344,0.484
345,0.46
346,0.445
347,0.434
348,0.469
349,0.471
350,0.465
351,0.424
352,0.43
353,0.424
354,0.455
355,0.457
356,0.456
357,0.438
358,0.457
359,0.446
360,0.418
361,0.45
362,0.421
363,0.464
364,0.458
365,0.445
366,0.442
367,0.459
368,0.425
369,0.435
370,0.472
371,0.422
372,0.448
373,0.447
374,0.459
375,0.469
376,0.439
377,0.433
378,0.439
379,0.458
380,0.46
381,0.463
382,0.443
383,0.447
384,0.454
385,0.448
386,0.46
387,0.453
388,0.448
389,0.486
390,0.464
391,0.453
392,0.466
393,0.441
394,0.46
395,0.44
396,0.428
397,0.459
398,0.446
399,0.439
400,0.443
401,0.453
402,0.441
403,0.447
404,0.439
405,0.44
406,0.463
407,0.454
408,0.441
409,0.444
410,0.453
411,0.454
412,0.45
413,0.407
414,0.443
415,0.493
416,0.446
417,0.459
418,0.465
419,0.447
420,0.445
421,0.457
422,0.449
423,0.445
424,0.447
425,0.426
426,0.445
427,0.453
428,0.47
429,0.469
430,0.452
431,0.467
432,0.457
433,0.435
434,0.449
435,0.425
436,0.452
437,0.429
438,0.45
439,0.432
440,0.431
441,0.435
442,0.448
443,0.438
444,0.461
445,0.448
446,0.446
447,0.445
448,0.437
449,0.453
450,0.453
451,0.44
452,0.434
453,0.444
454,0.438
455,0.442
456,0.443
457,0.437
458,0.419
459,0.439
460,0.43
461,0.417
462,0.448
463,0.468
464,0.429
465,0.425
466,0.455
467,0.436
468,0.433
469,0.436
470,0.434
471,0.432
472,0.452
473,0.423
474,0.432
475,0.44
476,0.463
477,0.419
478,0.453
479,0.447
480,0.441
481,0.468
482,0.425
483,0.428
484,0.445
485,0.461
486,0.456
487,0.463
488,0.427
489,0.454
490,0.438
491,0.433
492,0.473
493,0.427
494,0.438
495,0.405
496,0.45
497,0.463
498,0.477
499,0.463
500,0.445
