Simulation,Probability Player 1 Wins
1,0.532
2,0.534
3,0.531
4,0.528
5,0.499
6,0.516
7,0.538
8,0.522
9,0.54
10,0.529
11,0.532
12,0.514
13,0.531
14,0.536
15,0.543
16,0.526
17,0.525
18,0.544
19,0.526
20,0.508
21,0.518
22,0.558
23,0.518
24,0.544
25,0.531
26,0.521
27,0.536
28,0.525
29,0.542
30,0.529
31,0.521
32,0.554
33,0.53
34,0.538
35,0.527
36,0.556
37,0.521
38,0.532
39,0.531
40,0.502
41,0.541
42,0.534
43,0.504
44,0.537
45,0.547
46,0.54
47,0.504
48,0.53
49,0.537
50,0.542
51,0.545
52,0.551
53,0.562
54,0.549
55,0.557
56,0.555
57,0.551
58,0.553
59,0.537
60,0.51
61,0.555
62,0.546
63,0.542
64,0.545
65,0.538
66,0.53
67,0.547
68,0.515
69,0.518
70,0.538
71,0.542
72,0.513
73,0.536
74,0.554
75,0.549
76,0.555
77,0.542
78,0.55
79,0.523
80,0.547
81,0.547
82,0.547
83,0.513
84,0.54
85,0.518
86,0.513
87,0.56
88,0.548
89,0.549
90,0.534
91,0.532
92,0.527
93,0.552
94,0.541
95,0.547
96,0.539
97,0.514
98,0.532
99,0.547
100,0.525
101,0.534
102,0.532
103,0.521
104,0.521
105,0.527
106,0.55
107,0.528
108,0.541
109,0.542
110,0.539
111,0.529
112,0.533
113,0.536
114,0.556
115,0.559
116,0.506
117,0.531
118,0.529
119,0.516
120,0.505
121,0.54
122,0.536
123,0.545
124,0.529
125,0.55
126,0.539
127,0.518
128,0.544
129,0.567
130,0.516
131,0.536
132,0.524
133,0.522
134,0.522
135,0.549
136,0.54
137,0.527
138,0.549
139,0.507
140,0.515
141,0.522
142,0.564
143,0.526
144,0.552
145,0.512
146,0.541
147,0.542
148,0.53
149,0.531
150,0.529
151,0.53
152,0.521
153,0.524
154,0.502
155,0.514
156,0.535
157,0.542
158,0.517
159,0.553
160,0.554
161,0.536
162,0.556
163,0.54
164,0.564
165,0.519
166,0.57
167,0.529
168,0.529
169,0.556
170,0.51
171,0.545
172,0.545
173,0.548
174,0.543
175,0.518
176,0.555
177,0.541
178,0.525
179,0.514
180,0.511
181,0.551
182,0.526
183,0.551
184,0.54
185,0.54
186,0.554
187,0.523
188,0.52
189,0.532
190,0.522
191,0.535
192,0.543
193,0.554
194,0.538
195,0.543
196,0.544
197,0.534
198,0.533
199,0.536
200,0.544
201,0.536
202,0.53
203,0.532
204,0.549
205,0.542
206,0.52
207,0.556
208,0.56
209,0.561
210,0.536
211,0.563
212,0.515
213,0.547
214,0.525
215,0.533
216,0.541
217,0.543
218,0.51
219,0.545
220,0.556
221,0.529
222,0.54
223,0.507
224,0.503
225,0.523
226,0.545
227,0.534
228,0.529
229,0.541
230,0.511
231,0.529
232,0.509
233,0.542
234,0.53
235,0.539
236,0.563
237,0.536
238,0.55
239,0.568
240,0.513
241,0.525
242,0.537
243,0.517
244,0.555
245,0.561
246,0.5
247,0.545
248,0.536
249,0.531
250,0.525
251,0.535
252,0.509
253,0.555
254,0.535
255,0.529
256,0.567
257,0.528
258,0.522
259,0.547
260,0.558
261,0.524
262,0.534
263,0.52
264,0.522
