Simulation,Probability Player 1 Wins
1,0.514
2,0.483
3,0.488
4,0.468
5,0.468
6,0.45
7,0.436
8,0.462
9,0.448
10,0.48
11,0.48
12,0.484
13,0.477
14,0.469
15,0.511
16,0.463
17,0.454
18,0.44
19,0.494
20,0.468
21,0.477
22,0.476
23,0.47
24,0.493
25,0.504
26,0.505
27,0.47
28,0.484
29,0.429
30,0.499
31,0.473
32,0.448
33,0.487
34,0.487
35,0.47
36,0.474
37,0.443
38,0.449
39,0.461
40,0.453
41,0.506
42,0.429
43,0.492
44,0.485
45,0.457
46,0.462
47,0.466
48,0.467
49,0.468
50,0.479
51,0.444
52,0.477
53,0.458
54,0.502
55,0.478
56,0.491
57,0.468
58,0.449
59,0.462
60,0.457
61,0.465
62,0.486
63,0.482
64,0.47
65,0.478
66,0.461
67,0.453
68,0.437
69,0.482
70,0.469
71,0.485
72,0.479
73,0.469
74,0.473
75,0.46
76,0.462
77,0.486
78,0.462
79,0.476
80,0.441
81,0.46
82,0.471
83,0.461
84,0.439
85,0.455
86,0.487
87,0.49
88,0.478
89,0.481
90,0.481
91,0.473
92,0.464
93,0.487
94,0.501
95,0.48
96,0.478
97,0.462
98,0.489
99,0.473
100,0.485
101,0.443
102,0.47
103,0.473
104,0.472
105,0.493
106,0.479
107,0.472
108,0.485
109,0.465
110,0.457
111,0.484
112,0.477
113,0.468
114,0.498
115,0.479
116,0.478
117,0.485
118,0.454
119,0.473
120,0.472
121,0.476
122,0.467
123,0.461
124,0.473
125,0.466
126,0.491
127,0.471
128,0.464
129,0.485
130,0.47
131,0.487
132,0.442
133,0.486
134,0.461
135,0.469
136,0.458
137,0.482
138,0.482
139,0.461
140,0.485
141,0.47
142,0.444
143,0.475
144,0.481
145,0.47
146,0.482
147,0.478
148,0.502
149,0.474
150,0.443
151,0.469
152,0.478
153,0.454
154,0.44
155,0.491
156,0.452
157,0.501
158,0.466
159,0.456
160,0.485
161,0.466
162,0.433
163,0.446
164,0.482
165,0.475
166,0.485
167,0.461
168,0.481
169,0.452
170,0.473
171,0.469
172,0.469
173,0.458
174,0.519
175,0.493
176,0.455
177,0.462
178,0.482
179,0.491
180,0.496
181,0.493
182,0.488
183,0.447
184,0.489
185,0.453
186,0.48
187,0.47
188,0.471
189,0.49
190,0.44
191,0.456
192,0.469
193,0.469
194,0.462
195,0.466
196,0.454
197,0.464
198,0.469
199,0.462
200,0.478
201,0.462
202,0.488
203,0.487
204,0.456
205,0.442
206,0.492
207,0.463
208,0.485
209,0.447
210,0.474
211,0.491
212,0.501
213,0.438
214,0.469
215,0.467
216,0.48
217,0.493
218,0.48
219,0.482
220,0.475
221,0.472
222,0.484
223,0.463
224,0.482
225,0.477
226,0.478
227,0.468
228,0.467
229,0.495
230,0.471
231,0.497
232,0.472
233,0.475
234,0.433
235,0.472
236,0.489
237,0.439
238,0.5
239,0.475
240,0.462
241,0.463
242,0.455
243,0.48
244,0.439
245,0.49
246,0.485
247,0.457
248,0.466
249,0.476
250,0.518
251,0.51
252,0.465
253,0.456
254,0.462
255,0.491
256,0.484
257,0.459
258,0.471
259,0.476
260,0.487
261,0.486
262,0.475
263,0.464
264,0.478
265,0.461
266,0.486
267,0.467
268,0.494
269,0.48
270,0.456
271,0.499
272,0.517
273,0.468
274,0.485
275,0.483
276,0.46
277,0.453
278,0.474
279,0.47
280,0.479
281,0.487
282,0.462
283,0.486
284,0.493
285,0.468
286,0.458
287,0.494
288,0.487
289,0.49
290,0.503
291,0.464
292,0.5
293,0.496
294,0.499
295,0.473
296,0.453
297,0.482
298,0.482
299,0.448
300,0.453
301,0.469
302,0.443
303,0.476
304,0.461
305,0.479
306,0.494
307,0.479
308,0.494
309,0.468
310,0.46
311,0.482
312,0.479
313,0.471
314,0.451
315,0.462
316,0.448
317,0.462
318,0.48
319,0.472
320,0.478
321,0.47
322,0.442
323,0.5
324,0.5
325,0.484
326,0.465
327,0.473
328,0.46
329,0.469
330,0.456
331,0.464
332,0.491
333,0.463
334,0.449
335,0.492
336,0.478
337,0.487
338,0.497
339,0.471
340,0.455
341,0.483
342,0.481
343,0.47
344,0.477
345,0.481
346,0.49
347,0.428
348,0.471
349,0.487
350,0.461
351,0.496
352,0.488
353,0.49
354,0.456
355,0.474
356,0.472
357,0.49
358,0.505
359,0.49
360,0.457
361,0.481
362,0.459
363,0.498
364,0.478
365,0.463
366,0.451
367,0.491
368,0.485
369,0.462
370,0.455
371,0.475
372,0.499
373,0.476
374,0.449
375,0.49
376,0.468
377,0.464
378,0.496
379,0.503
380,0.486
381,0.454
382,0.454
383,0.48
384,0.482
385,0.481
386,0.465
387,0.455
388,0.464
389,0.462
390,0.498
391,0.482
392,0.478
393,0.446
394,0.484
395,0.474
396,0.47
397,0.456
398,0.482
399,0.498
400,0.483
401,0.439
402,0.456
403,0.466
404,0.49
405,0.464
406,0.504
407,0.477
408,0.453
409,0.483
410,0.48
411,0.475
412,0.471
413,0.47
414,0.481
415,0.456
416,0.459
417,0.499
418,0.479
419,0.458
420,0.476
421,0.478
422,0.466
423,0.485
424,0.491
425,0.457
426,0.482
427,0.47
428,0.472
429,0.475
430,0.484
431,0.492
432,0.456
433,0.467
434,0.502
435,0.486
436,0.47
437,0.455
438,0.47
439,0.466
440,0.466
441,0.462
442,0.481
443,0.466
444,0.471
445,0.464
446,0.46
447,0.499
448,0.453
449,0.454
450,0.483
451,0.489
452,0.466
453,0.475
454,0.488
455,0.459
456,0.491
457,0.437
458,0.474
459,0.462
460,0.467
461,0.491
462,0.471
463,0.482
464,0.461
465,0.482
466,0.459
467,0.457
468,0.452
469,0.464
470,0.452
471,0.516
472,0.457
473,0.483
474,0.474
475,0.475
476,0.464
477,0.441
478,0.459
479,0.472
480,0.461
481,0.465
482,0.478
483,0.465
484,0.501
485,0.428
486,0.454
487,0.483
488,0.487
489,0.491
490,0.474
491,0.452
492,0.474
493,0.453
494,0.463
495,0.484
496,0.483
497,0.46
498,0.484
499,0.488
500,0.47
