Simulation,Probability Player 1 Wins
1,0.633
2,0.621
3,0.611
4,0.629
5,0.635
6,0.63
7,0.614
8,0.613
9,0.645
10,0.629
11,0.634
12,0.639
13,0.621
14,0.614
15,0.636
16,0.617
17,0.626
18,0.633
19,0.628
20,0.662
21,0.634
22,0.614
23,0.657
24,0.629
25,0.628
26,0.618
27,0.615
28,0.625
29,0.665
30,0.618
31,0.635
32,0.634
33,0.643
34,0.657
35,0.622
36,0.644
37,0.61
38,0.602
39,0.625
40,0.64
41,0.647
42,0.653
43,0.65
44,0.607
45,0.643
46,0.65
47,0.641
48,0.65
49,0.643
50,0.624
51,0.633
52,0.62
53,0.621
54,0.612
55,0.651
56,0.616
57,0.627
58,0.639
59,0.657
60,0.625
61,0.658
62,0.607
63,0.618
64,0.64
65,0.644
66,0.598
67,0.62
68,0.625
69,0.622
70,0.636
71,0.623
72,0.618
73,0.63
74,0.629
75,0.622
76,0.638
77,0.6
78,0.623
79,0.644
80,0.601
81,0.608
82,0.619
83,0.597
84,0.626
85,0.635
86,0.627
87,0.605
88,0.628
89,0.634
90,0.63
91,0.624
92,0.601
93,0.636
94,0.61
95,0.637
96,0.634
97,0.637
98,0.613
99,0.619
100,0.601
101,0.653
102,0.631
103,0.62
104,0.654
105,0.606
106,0.646
107,0.636
108,0.615
109,0.621
110,0.625
111,0.607
112,0.624
113,0.641
114,0.626
115,0.611
116,0.593
117,0.624
118,0.64
119,0.629
120,0.64
121,0.639
122,0.631
123,0.633
124,0.621
125,0.62
126,0.628
127,0.644
128,0.649
129,0.618
130,0.638
131,0.611
132,0.603
133,0.627
134,0.639
135,0.621
136,0.612
137,0.632
138,0.609
139,0.634
140,0.642
141,0.648
142,0.643
143,0.644
144,0.662
145,0.617
146,0.616
147,0.611
148,0.638
149,0.627
150,0.627
151,0.629
152,0.607
153,0.62
154,0.598
155,0.634
156,0.613
157,0.634
158,0.6
159,0.617
160,0.633
161,0.642
162,0.645
163,0.636
164,0.635
165,0.62
166,0.654
167,0.593
168,0.602
169,0.64
170,0.612
171,0.649
172,0.65
173,0.624
174,0.632
175,0.64
176,0.636
177,0.617
178,0.644
179,0.629
180,0.626
181,0.621
182,0.612
183,0.661
184,0.665
185,0.631
186,0.603
187,0.624
188,0.631
189,0.636
190,0.63
191,0.597
192,0.636
193,0.644
194,0.63
195,0.616
196,0.617
197,0.645
198,0.606
199,0.643
200,0.603
201,0.618
202,0.628
203,0.621
204,0.617
205,0.64
206,0.597
207,0.616
208,0.64
209,0.637
210,0.627
211,0.617
212,0.623
213,0.63
214,0.631
215,0.619
216,0.607
217,0.617
218,0.616
219,0.641
220,0.638
221,0.629
222,0.628
223,0.623
224,0.658
225,0.619
226,0.645
227,0.618
228,0.631
229,0.615
230,0.612
231,0.619
232,0.618
233,0.628
234,0.623
235,0.613
236,0.606
237,0.634
238,0.642
239,0.633
240,0.631
241,0.652
242,0.627
243,0.653
244,0.621
245,0.624
246,0.613
247,0.645
248,0.635
249,0.625
250,0.613
251,0.665
252,0.632
253,0.644
254,0.625
255,0.615
256,0.614
257,0.618
258,0.625
259,0.632
260,0.622
261,0.642
262,0.632
263,0.627
264,0.631
265,0.647
266,0.636
267,0.631
268,0.626
269,0.649
270,0.604
271,0.654
272,0.63
273,0.654
274,0.602
275,0.622
276,0.641
277,0.592
278,0.653
279,0.61
280,0.6
281,0.647
282,0.629
283,0.624
284,0.616
285,0.59
286,0.641
287,0.632
288,0.628
289,0.652
290,0.641
291,0.628
292,0.65
293,0.651
294,0.635
295,0.616
296,0.609
297,0.634
298,0.656
299,0.642
300,0.635
301,0.619
302,0.619
303,0.617
304,0.629
305,0.626
306,0.628
307,0.637
308,0.64
309,0.632
310,0.626
311,0.635
312,0.64
313,0.624
314,0.634
315,0.619
316,0.613
317,0.631
318,0.615
319,0.637
320,0.619
321,0.623
322,0.639
323,0.651
324,0.648
325,0.627
326,0.632
327,0.609
328,0.66
329,0.668
330,0.654
331,0.635
332,0.625
333,0.643
334,0.608
335,0.644
336,0.583
337,0.655
338,0.634
339,0.625
340,0.613
341,0.65
342,0.608
343,0.582
344,0.647
