Simulation,Probability Player 1 Wins
1,0.522
2,0.496
3,0.553
4,0.518
5,0.527
6,0.538
7,0.517
8,0.553
9,0.545
10,0.535
11,0.501
12,0.543
13,0.523
14,0.506
15,0.52
16,0.516
17,0.527
18,0.548
19,0.521
20,0.513
21,0.521
22,0.498
23,0.502
24,0.53
25,0.522
26,0.52
27,0.534
28,0.526
29,0.536
30,0.522
31,0.517
32,0.517
33,0.509
34,0.491
35,0.505
36,0.502
37,0.509
38,0.518
39,0.526
40,0.496
41,0.51
42,0.536
43,0.551
44,0.513
45,0.504
46,0.555
47,0.51
48,0.496
49,0.539
50,0.536
51,0.547
52,0.507
53,0.538
54,0.5
55,0.511
56,0.514
57,0.537
58,0.523
59,0.517
60,0.514
61,0.485
62,0.524
63,0.522
64,0.514
65,0.52
66,0.505
67,0.528
68,0.505
69,0.515
70,0.502
71,0.489
72,0.509
73,0.525
74,0.514
75,0.515
76,0.518
77,0.526
78,0.504
79,0.535
80,0.548
81,0.545
82,0.507
83,0.513
84,0.515
85,0.53
86,0.519
87,0.526
88,0.537
89,0.522
90,0.52
91,0.525
92,0.487
93,0.522
94,0.524
95,0.505
96,0.543
97,0.544
98,0.521
99,0.506
100,0.526
101,0.535
102,0.523
103,0.535
104,0.516
105,0.531
106,0.509
107,0.523
108,0.525
109,0.533
110,0.522
111,0.5
112,0.503
113,0.516
114,0.499
115,0.538
116,0.507
117,0.537
118,0.523
119,0.531
120,0.538
121,0.519
122,0.513
123,0.551
124,0.513
125,0.539
126,0.517
127,0.519
128,0.56
129,0.507
130,0.54
131,0.535
132,0.509
133,0.511
134,0.531
135,0.494
136,0.547
137,0.543
138,0.508
139,0.538
140,0.519
141,0.512
142,0.488
143,0.522
144,0.527
145,0.509
146,0.512
147,0.512
148,0.542
149,0.509
150,0.535
151,0.535
152,0.496
153,0.513
154,0.506
155,0.493
156,0.52
157,0.514
158,0.53
159,0.527
160,0.503
161,0.52
162,0.535
163,0.539
164,0.53
165,0.527
166,0.53
167,0.528
168,0.533
169,0.498
170,0.526
171,0.521
172,0.493
173,0.528
174,0.482
175,0.52
176,0.504
177,0.545
178,0.501
179,0.502
180,0.532
181,0.527
182,0.531
183,0.51
184,0.516
185,0.523
186,0.552
187,0.512
188,0.519
