Side,Total Score,Turn Score
Player 1,0,350
Player 1,350,1100
Player 1,1450,700
Player 1,2150,1350
Player 1,3500,400
Player 1,3900,550
Player 1,4450,400
Player 1,4850,0
Player 1,4850,400
Player 1,5250,0
Player 1,5250,700
Player 1,5950,450
Player 1,6400,0
Player 1,6400,450
Player 1,6850,400
Player 1,7250,250
Player 1,7500,700
Player 1,8200,0
Player 1,8200,300
Player 1,8500,350
Player 1,8850,350
Player 1,9200,400
Player 2,0,500
Player 2,500,350
Player 2,850,250
Player 2,1100,300
Player 2,1400,700
Player 2,2100,0
Player 2,2100,350
Player 2,2450,750
Player 2,3200,700
Player 2,3900,400
Player 2,4300,0
Player 2,4300,300
Player 2,4600,1800
Player 2,6400,1000
Player 2,7400,300
Player 2,7700,300
Player 2,8000,300
Player 2,8300,300
Player 2,8600,350
Player 2,8950,350
Player 2,9300,300
Player 2,9600,400
Player 1,0,700
Player 1,700,500
Player 1,1200,700
Player 1,1900,0
Player 1,1900,950
Player 1,2850,1050
Player 1,3900,0
Player 1,3900,450
Player 1,4350,450
Player 1,4800,700
Player 1,5500,400
Player 1,5900,350
Player 1,6250,350
Player 1,6600,0
Player 1,6600,650
Player 1,7250,0
Player 1,7250,400
Player 1,7650,150
Player 2,0,400
Player 2,400,600
Player 2,1000,1250
Player 2,2250,0
Player 2,2250,0
Player 2,2250,0
Player 2,2250,300
Player 2,2550,300
Player 2,2850,850
Player 2,3700,1150
Player 2,4850,700
Player 2,5550,150
Player 2,5700,400
Player 2,6100,400
Player 2,6500,500
Player 2,7000,500
Player 2,7500,2050
Player 2,9550,450
Player 1,0,0
Player 1,0,300
Player 1,300,250
Player 1,550,350
Player 1,900,600
Player 1,1500,0
Player 1,1500,1150
Player 1,2650,0
Player 1,2650,0
Player 1,2650,0
Player 1,2650,350
Player 1,3000,0
Player 1,3000,1000
Player 1,4000,0
Player 1,4000,400
Player 1,4400,300
Player 1,4700,400
Player 2,0,250
Player 2,250,500
Player 2,750,0
Player 2,750,450
Player 2,1200,1450
Player 2,2650,300
Player 2,2950,450
Player 2,3400,0
Player 2,3400,300
Player 2,3700,900
Player 2,4600,1500
Player 2,6100,1000
Player 2,7100,950
Player 2,8050,300
Player 2,8350,1450
Player 2,9800,0
Player 2,9800,1150
Player 1,0,250
Player 1,250,1150
Player 1,1400,1100
Player 1,2500,300
Player 1,2800,0
Player 1,2800,250
Player 1,3050,200
Player 1,3250,400
Player 1,3650,250
Player 1,3900,250
Player 1,4150,750
Player 1,4900,400
Player 1,5300,250
Player 1,5550,250
Player 1,5800,300
Player 1,6100,550
Player 1,6650,200
Player 1,6850,450
Player 1,7300,400
Player 1,7700,250
Player 1,7950,750
Player 2,0,1650
Player 2,1650,400
Player 2,2050,0
Player 2,2050,0
Player 2,2050,350
Player 2,2400,700
Player 2,3100,300
Player 2,3400,300
Player 2,3700,0
Player 2,3700,350
Player 2,4050,1050
Player 2,5100,300
Player 2,5400,250
Player 2,5650,500
Player 2,6150,500
Player 2,6650,500
Player 2,7150,650
Player 2,7800,350
Player 2,8150,850
Player 2,9000,300
Player 2,9300,1100
Player 1,0,450
Player 1,450,0
Player 1,450,350
Player 1,800,450
Player 1,1250,1150
Player 1,2400,1150
Player 1,3550,350
Player 1,3900,0
Player 1,3900,650
Player 1,4550,350
Player 1,4900,450
Player 1,5350,250
Player 1,5600,750
Player 1,6350,1200
Player 1,7550,350
Player 1,7900,1100
Player 1,9000,0
Player 1,9000,500
Player 1,9500,600
Player 2,0,500
Player 2,500,250
Player 2,750,0
Player 2,750,700
Player 2,1450,0
Player 2,1450,200
Player 2,1650,1500
Player 2,3150,300
Player 2,3450,450
Player 2,3900,250
Player 2,4150,150
Player 2,4300,500
Player 2,4800,250
Player 2,5050,400
Player 2,5450,350
Player 2,5800,1100
Player 2,6900,350
Player 2,7250,500
Player 1,0,650
Player 1,650,750
Player 1,1400,0
Player 1,1400,250
Player 1,1650,350
Player 1,2000,0
Player 1,2000,600
Player 1,2600,450
Player 1,3050,500
Player 1,3550,0
Player 1,3550,0
Player 1,3550,0
Player 1,3550,1350
Player 1,4900,1000
Player 1,5900,1050
Player 1,6950,1050
Player 1,8000,300
Player 1,8300,500
Player 1,8800,0
Player 2,0,1050
Player 2,1050,0
Player 2,1050,1000
Player 2,2050,750
Player 2,2800,0
Player 2,2800,400
Player 2,3200,600
Player 2,3800,0
Player 2,3800,850
Player 2,4650,300
Player 2,4950,600
Player 2,5550,500
Player 2,6050,0
Player 2,6050,1050
Player 2,7100,400
Player 2,7500,250
Player 2,7750,300
Player 2,8050,850
Player 2,8900,1250
Player 1,0,200
Player 1,200,600
Player 1,800,1350
Player 1,2150,900
Player 1,3050,650
Player 1,3700,300
Player 1,4000,0
Player 1,4000,0
Player 1,4000,600
Player 1,4600,0
Player 1,4600,500
Player 1,5100,500
Player 1,5600,300
Player 1,5900,250
Player 1,6150,250
Player 1,6400,1150
Player 1,7550,350
Player 1,7900,1500
Player 1,9400,0
Player 1,9400,650
Player 2,0,400
Player 2,400,500
Player 2,900,0
Player 2,900,1050
Player 2,1950,350
Player 2,2300,350
Player 2,2650,0
Player 2,2650,300
Player 2,2950,500
Player 2,3450,350
Player 2,3800,0
Player 2,3800,950
Player 2,4750,450
Player 2,5200,1800
Player 2,7000,0
Player 2,7000,800
Player 2,7800,300
Player 2,8100,150
Player 2,8250,250
Player 1,0,250
Player 1,250,250
Player 1,500,250
Player 1,750,650
Player 1,1400,1000
Player 1,2400,450
Player 1,2850,400
Player 1,3250,650
Player 1,3900,550
Player 1,4450,300
Player 1,4750,1150
Player 1,5900,1050
Player 1,6950,0
Player 1,6950,200
Player 1,7150,400
Player 1,7550,600
Player 1,8150,400
Player 1,8550,450
Player 2,0,1100
Player 2,1100,1250
Player 2,2350,500
Player 2,2850,300
Player 2,3150,350
Player 2,3500,0
Player 2,3500,250
Player 2,3750,1050
Player 2,4800,500
Player 2,5300,1100
Player 2,6400,200
Player 2,6600,300
Player 2,6900,400
Player 2,7300,350
Player 2,7650,0
Player 2,7650,1000
Player 2,8650,300
Player 2,8950,1050
Player 1,0,1000
Player 1,1000,500
Player 1,1500,0
Player 1,1500,350
Player 1,1850,300
Player 1,2150,500
Player 1,2650,300
Player 1,2950,950
Player 1,3900,400
Player 1,4300,300
Player 1,4600,700
Player 1,5300,600
Player 1,5900,250
Player 1,6150,700
Player 1,6850,400
Player 1,7250,300
Player 1,7550,550
Player 1,8100,500
Player 1,8600,300
Player 1,8900,300
Player 1,9200,500
Player 1,9700,200
Player 2,0,250
Player 2,250,600
Player 2,850,1050
Player 2,1900,450
Player 2,2350,0
Player 2,2350,550
Player 2,2900,0
Player 2,2900,0
Player 2,2900,500
Player 2,3400,700
Player 2,4100,850
Player 2,4950,600
Player 2,5550,650
Player 2,6200,0
Player 2,6200,0
Player 2,6200,500
Player 2,6700,400
Player 2,7100,1450
Player 2,8550,300
Player 2,8850,300
Player 2,9150,600
Player 2,9750,300
Player 1,0,0
Player 1,0,350
Player 1,350,250
Player 1,600,0
Player 1,600,1550
Player 1,2150,350
Player 1,2500,350
Player 1,2850,300
Player 1,3150,200
Player 1,3350,800
Player 1,4150,700
Player 1,4850,250
Player 1,5100,0
Player 1,5100,1150
Player 1,6250,300
Player 1,6550,750
Player 1,7300,500
Player 1,7800,0
Player 1,7800,300
Player 1,8100,0
Player 1,8100,150
Player 1,8250,0
Player 2,0,650
Player 2,650,0
Player 2,650,500
Player 2,1150,1350
Player 2,2500,550
Player 2,3050,700
Player 2,3750,450
Player 2,4200,450
Player 2,4650,700
Player 2,5350,300
Player 2,5650,400
Player 2,6050,0
Player 2,6050,250
Player 2,6300,650
Player 2,6950,200
Player 2,7150,300
Player 2,7450,300
Player 2,7750,700
Player 2,8450,350
Player 2,8800,700
Player 2,9500,450
Player 2,9950,500
Player 1,0,1050
Player 1,1050,400
Player 1,1450,950
Player 1,2400,400
Player 1,2800,700
Player 1,3500,350
Player 1,3850,1100
Player 1,4950,0
Player 1,4950,0
Player 1,4950,350
Player 1,5300,1000
Player 1,6300,600
Player 1,6900,400
Player 1,7300,0
Player 1,7300,550
Player 1,7850,750
Player 1,8600,0
Player 1,8600,550
Player 1,9150,0
Player 1,9150,250
Player 1,9400,1000
Player 2,0,200
Player 2,200,0
Player 2,200,850
Player 2,1050,700
Player 2,1750,650
Player 2,2400,0
Player 2,2400,400
Player 2,2800,300
Player 2,3100,350
Player 2,3450,300
Player 2,3750,400
Player 2,4150,0
Player 2,4150,300
Player 2,4450,300
Player 2,4750,1100
Player 2,5850,1000
Player 2,6850,600
Player 2,7450,650
Player 2,8100,650
Player 2,8750,400
Player 1,0,250
Player 1,250,0
Player 1,250,1400
Player 1,1650,600
Player 1,2250,350
Player 1,2600,0
Player 1,2600,0
Player 1,2600,300
Player 1,2900,850
Player 1,3750,750
Player 1,4500,500
Player 1,5000,600
Player 1,5600,450
Player 1,6050,700
Player 1,6750,500
Player 1,7250,250
Player 1,7500,400
Player 1,7900,250
Player 1,8150,1000
Player 1,9150,0
Player 1,9150,250
Player 1,9400,250
Player 2,0,500
Player 2,500,350
Player 2,850,0
Player 2,850,400
Player 2,1250,600
Player 2,1850,0
Player 2,1850,600
Player 2,2450,1100
Player 2,3550,0
Player 2,3550,0
Player 2,3550,1000
Player 2,4550,1100
Player 2,5650,550
Player 2,6200,1350
Player 2,7550,750
Player 2,8300,300
Player 2,8600,300
Player 2,8900,500
Player 2,9400,200
Player 2,9600,0
Player 2,9600,200
Player 2,9800,250
Player 1,0,1000
Player 1,1000,450
Player 1,1450,0
Player 1,1450,1100
Player 1,2550,700
Player 1,3250,450
Player 1,3700,500
Player 1,4200,1000
Player 1,5200,1000
Player 1,6200,600
Player 1,6800,400
Player 1,7200,550
Player 1,7750,400
Player 1,8150,1800
Player 1,9950,450
Player 2,0,800
Player 2,800,0
Player 2,800,300
Player 2,1100,2050
Player 2,3150,400
Player 2,3550,0
Player 2,3550,300
Player 2,3850,500
Player 2,4350,1050
Player 2,5400,650
Player 2,6050,300
Player 2,6350,500
